id,shape,price,carat,cut,color,clarity,report,type
9983805,6,16060,1.7,5,6,3,1,2
10004071,10,16070,2.03,5,6,2,1,2
10088508,7,16070,2.2,5,7,1,1,2
9999632,7,16070,2.51,5,5,1,1,2
9999383,8,16070,2.2,5,3,4,1,2
10075370,10,16090,2.01,5,3,1,1,2
10090371,9,16090,2.01,3,4,1,1,2
10088582,10,16100,2.01,5,3,1,1,2
10089802,2,16100,2.2,4,6,3,1,2
10005932,10,16110,1.6,5,4,6,1,2
9979397,10,16110,2.7,4,6,1,3,2
10023383,6,16120,2.5,3,4,1,3,2
10029400,6,16120,2.5,3,4,1,3,2
10080483,7,16130,2.12,5,6,2,1,2
10086643,10,16130,1.79,5,4,5,1,2
9890974,2,16140,2.53,5,3,1,1,2
10072387,6,16140,1.7,4,7,4,1,2
10054100,6,16140,2.01,5,2,3,1,2
10062347,2,16150,2.01,5,4,6,1,2
10023469,8,16160,2.51,5,5,1,1,2
9935235,9,16170,2.02,2,3,4,1,2
10069393,10,16170,2.01,5,2,4,1,2
10023790,6,16170,2.4,4,1,3,1,2
10000227,10,16170,1.64,5,5,6,1,2
10035053,3,16170,2.02,3,3,6,1,2
10078630,10,16180,1.65,5,4,7,1,2
10052179,6,16190,2.01,5,5,1,1,2
10006222,9,16190,2.02,5,7,1,1,2
10061202,10,16190,1.9,5,3,2,1,2
9997239,2,16200,2.01,5,6,2,1,2
10081247,2,16200,2.5,5,3,1,1,2
10079170,10,16230,2.01,5,2,5,1,2
10005929,10,16250,1.49,5,6,6,1,2
10089371,8,16250,2.5,5,4,1,1,2
10077575,10,16260,1.5,5,5,5,1,2
9989889,10,16270,2.01,5,2,2,1,2
9789327,7,16300,1.6,4,7,5,1,2
10050449,10,16310,2.04,5,3,1,1,2
10029320,6,16310,2.0,4,4,1,1,2
10024807,10,16320,2.01,5,4,1,1,2
9916727,4,16330,1.7,3,7,5,1,2
10051292,10,16330,1.63,5,5,5,1,2
9968436,10,16360,1.9,4,5,2,1,2
10087084,10,16360,2.0,5,2,4,1,2
10092088,10,16360,1.01,5,7,7,1,2
8349569,7,16360,1.8,4,7,3,1,2
10079734,10,16370,1.43,5,5,6,1,2
9945925,10,16380,1.53,5,4,6,1,2
9955233,10,16390,1.69,5,5,4,1,2
9900235,6,16400,1.9,5,4,5,1,2
10021135,8,16400,1.91,4,7,3,1,2
10080553,10,16400,1.9,5,5,2,1,2
10024840,6,16410,1.7,4,7,3,1,2
9974253,6,16420,1.9,4,4,2,1,2
10088701,10,16470,2.3,5,2,1,1,2
9731395,10,16490,2.45,5,1,5,1,2
10081450,10,16500,1.9,5,3,2,1,2
9999113,10,16510,1.51,5,5,4,1,2
10005500,6,16520,1.8,2,4,4,1,2
10005512,10,16540,1.01,5,7,7,1,2
9829767,2,16540,2.0,2,6,4,1,2
10072794,2,16550,2.01,5,4,4,1,2
10079516,6,16560,2.0,3,7,1,1,2
9930747,10,16560,1.03,5,7,8,1,2
10026710,10,16560,1.0,5,7,8,1,2
10052096,2,16570,2.06,5,4,3,1,2
9851278,10,16580,2.16,5,3,2,1,2
